         936424 function calls (912869 primitive calls) in 7.781 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 __init__.py:167(ByteTensor)
        1    0.000    0.000    0.000    0.000 __init__.py:168(LongStorage)
        1    0.000    0.000    0.000    0.000 __init__.py:1686(CallWrapper)
        1    0.000    0.000    0.053    0.053 __init__.py:169(<module>)
        1    0.001    0.001    2.846    2.846 __init__.py:17(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:1706(XView)
        1    0.000    0.000    0.000    0.000 __init__.py:172(IntStorage)
        1    0.000    0.000    0.000    0.000 __init__.py:1727(YView)
        1    0.000    0.000    0.070    0.070 __init__.py:173(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:174(DropoutDescriptor)
        1    0.000    0.000    0.000    0.000 __init__.py:1748(Wm)
        1    0.000    0.000    0.000    0.000 __init__.py:176(ShortStorage)
        1    0.000    0.000    0.000    0.000 __init__.py:18(Backend)
        1    0.000    0.000    0.000    0.000 __init__.py:180(CharStorage)
        1    0.000    0.000    0.000    0.000 __init__.py:180(Event)
       58    0.000    0.000    0.005    0.000 __init__.py:1811(getLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:184(ByteStorage)
        1    0.000    0.000    0.000    0.000 __init__.py:188(DoubleTensor)
        2    0.000    0.000    0.055    0.027 __init__.py:19(<module>)
       64    0.000    0.000    0.000    0.000 __init__.py:190(_checkLevel)
        1    0.000    0.000    0.000    0.000 __init__.py:193(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:194(<listcomp>)
        2    0.000    0.000    0.000    0.000 __init__.py:1955(createLock)
        1    0.000    0.000    0.000    0.000 __init__.py:198(FloatTensor)
        1    0.000    0.000    0.000    0.000 __init__.py:1993(Tk)
        6    0.000    0.000    2.028    0.338 __init__.py:2(<module>)
        1    0.000    0.000    0.004    0.004 __init__.py:20(<module>)
        5    0.000    0.000    0.000    0.000 __init__.py:20(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:208(HalfTensor)
        1    0.000    0.000    0.225    0.225 __init__.py:21(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:2115(Pack)
        1    0.000    0.000    0.000    0.000 __init__.py:2154(Place)
        1    0.000    0.000    0.001    0.001 __init__.py:2171(_handle_ns)
        1    0.000    0.000    0.000    0.000 __init__.py:218(LongTensor)
        1    0.000    0.000    0.000    0.000 __init__.py:218(RNNDescriptor)
       66    0.000    0.000    0.000    0.000 __init__.py:219(_acquireLock)
        1    0.000    0.000    0.000    0.000 __init__.py:2198(Grid)
        1    0.000    0.000    0.261    0.261 __init__.py:22(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:22(EventLoopPolicy)
        1    0.000    0.000    0.059    0.059 __init__.py:220(<module>)
      2/1    0.000    0.000    0.001    0.001 __init__.py:2230(declare_namespace)
        1    0.000    0.000    0.000    0.000 __init__.py:2245(BaseWidget)
        1    0.000    0.000    0.001    0.001 __init__.py:2275(file_ns_handler)
        1    0.000    0.000    0.075    0.075 __init__.py:228(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:228(IntTensor)
       66    0.000    0.000    0.000    0.000 __init__.py:228(_releaseLock)
      214    0.001    0.000    0.001    0.000 __init__.py:23(find_module)
        1    0.000    0.000    0.001    0.001 __init__.py:2302(normalize_path)
        1    0.000    0.000    0.000    0.000 __init__.py:2307(Widget)
        2    0.000    0.000    0.001    0.000 __init__.py:2307(_normalize_cached)
        1    0.000    0.000    0.000    0.000 __init__.py:2314(Toplevel)
        8    0.000    0.000    0.000    0.000 __init__.py:2315(_is_egg_path)
        1    0.000    0.000    0.000    0.000 __init__.py:2342(Button)
        1    0.000    0.000    0.000    0.000 __init__.py:238(ShortTensor)
        1    0.000    0.000    0.000    0.000 __init__.py:2387(Canvas)
        1    0.000    0.000    0.000    0.000 __init__.py:24(is_available)
       25    0.001    0.000    0.001    0.000 __init__.py:244(_dummy_type)
        1    0.000    0.000    0.000    0.000 __init__.py:245(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:248(CharTensor)
        1    0.000    0.000    0.000    0.000 __init__.py:250(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:259(ByteTensor)
        1    0.000    0.000    0.000    0.000 __init__.py:2628(Checkbutton)
        1    0.000    0.000    0.000    0.000 __init__.py:2657(Entry)
        1    0.000    0.000    0.000    0.000 __init__.py:27(AsymmetricVerificationContext)
        1    0.000    0.000    0.000    0.000 __init__.py:272(IncrementalDecoder)
        1    0.000    0.000    0.000    0.000 __init__.py:272(_CudaBase)
        1    0.000    0.000    0.000    0.000 __init__.py:2722(Frame)
        1    0.000    0.000    0.000    0.000 __init__.py:2740(Label)
        1    0.000    0.000    0.000    0.000 __init__.py:2762(Listbox)
        1    0.000    0.000    0.000    0.000 __init__.py:283(DoubleStorage)
        1    0.000    0.000    0.000    0.000 __init__.py:2853(Menu)
        1    0.000    0.000    0.000    0.000 __init__.py:287(FloatStorage)
        1    0.000    0.000    0.000    0.000 __init__.py:288(Variable)
        1    0.000    0.000    0.000    0.000 __init__.py:291(LongStorage)
        1    0.000    0.000    0.000    0.000 __init__.py:293(manager_path)
        1    0.000    0.000    0.000    0.000 __init__.py:295(IntStorage)
        1    0.000    0.000    0.000    0.000 __init__.py:2956(Menubutton)
        1    0.000    0.000    0.000    0.000 __init__.py:2961(Message)
        1    0.000    0.000    0.000    0.000 __init__.py:2966(Radiobutton)
        1    0.000    0.000    0.000    0.000 __init__.py:299(ShortStorage)
        1    0.000    0.000    0.000    0.000 __init__.py:2993(Scale)
        7    0.001    0.000    0.364    0.052 __init__.py:3(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:30(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:3026(Scrollbar)
        1    0.000    0.000    0.000    0.000 __init__.py:303(CharStorage)
        2    0.000    0.000    0.000    0.000 __init__.py:3042(_always_object)
        2    0.000    0.000    0.000    0.000 __init__.py:3052(_find_adapter)
        1    0.000    0.000    0.000    0.000 __init__.py:307(ByteStorage)
        1    0.000    0.000    0.000    0.000 __init__.py:3070(Text)
        2    0.006    0.003    0.044    0.022 __init__.py:31(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:31(Bunch)
        1    0.000    0.000    0.000    0.000 __init__.py:31(_Seq2VecWrapper)
        1    0.000    0.000    0.000    0.000 __init__.py:311(HalfStorage)
        1    0.000    0.000    0.000    0.000 __init__.py:315(DoubleTensor)
        1    0.000    0.000    0.001    0.001 __init__.py:32(_Seq2SeqWrapper)
        1    0.000    0.000    0.000    0.000 __init__.py:323(IncrementalEncoder)
        1    0.000    0.000    0.000    0.000 __init__.py:325(FloatTensor)
        1    0.000    0.000    0.001    0.001 __init__.py:33(<module>)
        1    0.000    0.000    0.001    0.001 __init__.py:332(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:335(LongTensor)
